"La Odisea","978-84-08-00001-1","Épica","800","Homero"
"La Iliada","978-84-08-00002-8","Épica","750","Homero"
"La Iliada","978-84-08-00002-8","Épica","750","Homero"
"La Iliada","978-84-08-00002-8","Épica","750","Homero"
"La Iliada","978-84-08-00002-8","Épica","750","Homero"
"Crimen y Castigo","978-84-206-7691-3","Novela Psicológica","1866","Fiódor Dostoyevski"
"Orgullo y Prejuicio","978-84-9105-029-3","Romántica","1813","Jane Austen"
"El Principito","978-84-9838-362-2","Fábula","1943","Antoine de Saint-Exupéry"
"Fahrenheit 451","978-84-9759-425-8","Distopía","1953","Ray Bradbury"
"Moby Dick","978-84-9105-088-0","Aventura","1851","Herman Melville"
"Ulises","978-84-9181-125-2","Modernismo","1922","James Joyce"
"Los Miserables","978-84-9105-021-7","Drama Histórico","1862","Victor Hugo"
"En Busca del Tiempo Perdido","978-84-206-6942-7","Modernismo","1913","Marcel Proust"
